,time_sec,node,is_curph_mingreenmet,curr_phase_elapsed_time,cycle_elapsed_time,iscurrsg_mainstreet,sg_vehexists,isotherphases_demand
1604,1697233384869.0,10,0,9.4,9.4,0,True,True
1605,1697233384877.0,11,0,16.1,43.1,1,True,True
1606,1697233384939.0,1,1,11.8,11.8,0,True,True
1607,1697233384983.0,2,0,7.0,31.3,0,True,True
1608,1697233384946.0,3,1,80.6,0.0,0,True,True
1609,1697233384944.0,4,1,33.0,0.0,0,True,True
1610,1697233384478.0,5,1,85.0,85.0,1,True,True
1611,1697233384921.0,6,1,19.6,19.6,0,True,True
1612,1697233384983.0,7,0,13.3,13.3,0,True,True
1613,1697233384919.0,8,1,49.9,0.0,1,True,True
1614,1697233385002.0,9,1,17.9,17.9,0,True,True
1615,1697233384969.0,10,0,9.5,9.5,0,True,True
1616,1697233384977.0,11,0,16.2,43.2,1,True,True
1617,1697233385038.0,1,1,11.9,11.9,0,True,True
1618,1697233382729.892,2,0,4.7,29.0,0,True,True
1619,1697233385045.0,3,1,80.7,0.0,0,True,True
1620,1697233385144.0,4,1,33.2,0.0,0,True,True
1621,1697233384577.0,5,1,85.1,85.1,1,True,True
1622,1697233385021.0,6,1,19.7,19.7,0,True,True
1623,1697233385083.0,7,0,13.4,13.4,0,True,True
1624,1697233385018.0,8,1,50.0,0.0,1,True,True
1625,1697233385101.0,9,1,18.0,18.0,0,True,True
1626,1697233385068.0,10,0,9.6,9.6,0,True,True
1627,1697233385076.0,11,0,16.3,43.3,1,True,True
1628,1697233385238.0,1,1,12.1,12.1,0,True,True
1629,1697233385182.0,2,0,7.2,31.5,0,True,True
1630,1697233385145.0,3,1,80.8,0.0,0,True,True
1631,1697233385244.0,4,1,33.3,0.0,0,True,True
1632,1697233384677.0,5,1,85.2,85.2,1,True,True
1633,1697233385121.0,6,1,19.8,19.8,0,True,True
1634,1697233385183.0,7,0,13.5,13.5,0,True,True
1635,1697233385118.0,8,1,50.1,0.0,1,True,True
1636,1697233385202.0,9,1,18.1,18.1,0,True,True
1637,1697233385168.0,10,0,9.7,9.7,0,True,True
1638,1697233385176.0,11,0,16.4,43.4,1,True,True
1639,1697233385338.0,1,1,12.2,12.2,0,True,True
1640,1697233385282.0,2,0,7.3,31.6,0,True,True
1641,1697233385245.0,3,1,80.9,0.0,0,True,True
1642,1697233385344.0,4,1,33.4,0.0,0,True,True
1643,1697233384777.0,5,1,85.3,85.3,1,True,True
1644,1697233385221.0,6,1,19.9,19.9,0,True,True
1645,1697233385283.0,7,0,13.6,13.6,0,True,True
1646,1697233385218.0,8,1,50.2,0.0,1,True,True
1647,1697233385302.0,9,1,18.2,18.2,0,True,True
1648,1697233385268.0,10,0,9.8,9.8,0,True,True
1649,1697233385276.0,11,0,16.5,43.5,1,True,True
1650,1697233385439.0,1,1,12.3,12.3,0,True,True
1651,1697233385382.0,2,0,7.4,31.7,0,True,True
1652,1697233385345.0,3,1,81.0,0.0,0,True,True
1653,1697233385445.0,4,1,33.5,0.0,0,True,True
1654,1697233384877.0,5,1,85.4,85.4,1,True,True
1655,1697233385321.0,6,1,20.0,20.0,0,True,True
1656,1697233385383.0,7,0,13.7,13.7,0,True,True
1657,1697233385318.0,8,1,50.3,0.0,1,True,True
1658,1697233385402.0,9,1,18.3,18.3,0,True,True
1659,1697233385469.0,10,1,10.0,10.0,0,True,True
1660,1697233385376.0,11,0,16.6,43.6,1,True,True
1661,1697233385538.0,1,1,12.4,12.4,0,True,True
1662,1697233385483.0,2,0,7.5,31.8,0,True,True
1663,1697233385446.0,3,1,81.1,0.0,0,True,True
1664,1697233385544.0,4,1,33.6,0.0,0,True,True
1665,1697233384977.0,5,1,85.5,85.5,1,True,True
1666,1697233385422.0,6,1,20.1,20.1,0,True,True
1667,1697233385484.0,7,0,13.8,13.8,0,True,True
1668,1697233385518.0,8,1,50.5,0.0,1,True,True
1669,1697233385502.0,9,1,18.4,18.4,0,True,True
1670,1697233385568.0,10,1,10.1,10.1,0,True,True
1671,1697233385576.0,11,0,16.8,43.8,1,True,True
1672,1697233385638.0,1,1,12.5,12.5,0,True,True
1673,1697233385582.0,2,0,7.6,31.9,0,True,True
1674,1697233385545.0,3,1,81.2,0.0,0,True,True
1675,1697233385644.0,4,1,33.7,0.0,0,True,True
1676,1697233385077.0,5,1,85.6,85.6,1,True,True
1677,1697233385521.0,6,1,20.2,20.2,0,True,True
1678,1697233385683.0,7,0,14.0,14.0,0,True,True
1679,1697233383284.882,8,1,48.3,0.0,1,True,True
1680,1697233385602.0,9,1,18.5,18.5,0,True,True
