,episode,time_sec,action,updated action
114,1,191.5,"1,1,0,1,1,1,0,1,1,1,1","1,1,0,0,0,1,0,0,0,0,1"
115,1,191.6,"0,1,1,1,1,0,0,0,1,0,0","0,1,0,0,0,0,0,0,0,0,0"
116,1,191.7,"1,1,1,0,1,1,0,1,0,0,0","1,1,0,0,0,1,0,0,0,0,0"
117,1,191.8,"1,1,1,1,1,1,0,0,0,1,1","1,1,0,0,0,1,0,0,0,0,1"
118,1,191.9,"1,1,1,1,1,1,0,1,1,1,1","1,1,0,0,0,1,0,0,0,0,1"
119,1,192.0,"1,1,0,0,1,0,0,1,1,1,1","1,1,0,0,0,0,0,0,0,0,1"
120,1,192.1,"1,1,1,1,1,0,1,1,1,1,1","1,1,0,0,0,0,1,0,0,0,1"
121,1,192.2,"1,1,0,0,1,1,1,1,1,1,1","1,1,0,0,0,0,1,0,0,0,1"
122,1,192.3,"0,1,0,1,1,1,0,1,1,1,0","0,1,0,0,0,0,0,0,0,0,0"
123,1,192.4,"1,0,0,0,1,0,0,1,1,1,1","1,0,0,0,0,0,0,0,0,0,1"
124,1,192.5,"1,1,1,1,0,1,0,1,0,1,0","1,1,0,1,0,0,0,0,0,0,0"
125,1,192.6,"0,0,0,1,1,1,0,1,0,1,0","0,0,0,1,0,0,0,0,0,0,0"
126,1,192.7,"1,0,0,1,1,1,0,1,1,1,0","1,0,0,1,0,0,0,0,0,0,0"
127,1,192.8,"1,1,0,1,0,0,1,1,1,0,1","1,1,0,1,0,0,1,0,0,0,1"
128,1,192.9,"1,1,1,1,1,1,0,1,0,1,1","1,1,0,1,0,0,0,0,0,0,1"
129,1,193.0,"1,1,0,1,0,1,0,1,0,1,1","1,1,0,1,0,0,0,0,0,0,1"
130,1,193.1,"0,0,0,1,1,1,0,1,1,0,0","0,0,0,1,0,0,0,0,0,0,0"
131,1,193.2,"0,1,0,1,1,1,0,0,1,0,1","0,1,0,1,0,0,0,0,0,0,1"
132,1,193.3,"0,0,0,1,1,1,0,0,0,0,1","0,0,0,1,0,0,0,0,0,0,1"
133,1,193.4,"0,1,1,1,1,1,1,0,1,1,0","0,1,0,1,0,0,1,0,0,1,0"
134,1,193.5,"1,1,0,1,0,1,0,1,1,1,0","1,1,0,1,0,0,0,0,0,1,0"
135,1,193.6,"0,1,0,1,1,1,0,1,1,0,1","0,1,0,1,0,0,0,0,0,0,1"
136,1,193.7,"1,1,1,0,1,1,0,1,1,1,0","1,1,0,0,0,0,0,0,0,1,0"
137,1,193.8,"1,0,1,1,0,1,0,0,1,1,1","1,0,0,1,0,0,0,0,0,1,1"
138,1,193.9,"1,0,1,1,1,0,0,0,1,1,0","1,0,0,1,0,0,0,0,0,1,0"
139,1,194.0,"1,1,1,1,0,1,0,1,1,1,1","1,1,0,1,0,0,0,0,0,1,1"
140,1,194.1,"1,1,1,1,0,0,0,1,0,1,1","1,1,0,1,0,0,0,0,0,1,1"
141,1,194.2,"0,1,0,1,1,0,0,0,0,1,1","0,1,0,1,0,0,0,0,0,1,1"
142,1,194.3,"0,1,0,1,0,1,0,1,1,0,1","0,1,0,1,0,0,0,0,0,0,1"
143,1,194.4,"1,1,1,1,1,1,1,1,1,1,0","0,1,0,1,0,0,1,0,0,1,0"
144,1,194.5,"1,1,0,1,1,1,0,0,1,0,0","0,1,0,1,0,0,0,0,0,0,0"
145,1,194.6,"0,1,1,1,1,1,0,1,1,1,0","0,1,0,1,0,0,0,0,0,1,0"
146,1,194.7,"1,1,1,1,1,0,0,1,1,1,0","0,1,0,1,0,0,0,0,0,1,0"
147,1,194.8,"1,1,1,1,1,0,0,1,1,1,0","0,1,0,1,0,0,0,0,0,1,0"
148,1,194.9,"1,1,0,1,0,1,0,1,0,1,1","0,1,0,1,0,0,0,0,0,1,1"
149,1,195.0,"0,1,1,1,0,0,0,0,1,1,0","0,1,0,1,0,0,0,0,0,1,0"
150,1,195.1,"1,1,0,0,1,1,0,1,0,1,1","0,1,0,0,0,0,0,0,0,1,1"
151,1,195.2,"1,1,1,1,1,1,0,0,1,0,1","0,1,0,1,0,0,0,0,0,0,1"
152,1,195.3,"0,0,0,1,1,1,0,0,1,0,1","0,0,0,1,0,0,0,0,0,0,1"
153,1,195.4,"0,1,1,0,0,1,0,1,1,1,0","0,1,0,0,0,0,0,0,0,1,0"
154,1,195.5,"1,1,1,1,1,1,0,1,1,1,0","0,1,0,1,0,0,0,0,0,1,0"
155,1,195.6,"1,0,1,1,1,1,0,0,1,1,1","0,0,0,1,0,0,0,0,0,1,1"
156,1,195.7,"0,0,0,1,1,1,0,0,0,1,1","0,0,0,1,0,0,0,0,0,1,1"
157,1,195.8,"0,0,1,1,0,0,0,1,1,1,0","0,0,0,1,0,0,0,0,0,1,0"
158,1,195.9,"1,1,1,1,1,0,1,1,1,1,1","0,1,0,1,1,0,0,0,0,1,1"
159,1,196.0,"1,1,0,1,1,1,0,1,1,1,1","0,1,0,1,1,0,0,0,0,1,1"
160,1,196.1,"1,1,0,1,1,1,0,1,0,1,0","0,1,0,1,1,0,0,0,0,1,0"
161,1,196.2,"1,1,1,0,1,1,0,0,1,1,1","0,1,0,0,1,0,0,0,0,1,1"
162,1,196.3,"0,1,1,1,1,1,0,0,1,1,0","0,1,0,1,1,0,0,0,0,1,0"
163,1,196.4,"0,1,1,0,0,1,0,1,0,1,1","0,1,0,0,0,0,0,0,0,1,1"
164,1,196.5,"1,1,1,1,1,1,0,1,1,1,1","0,1,0,0,1,0,0,0,0,1,1"
165,1,196.6,"1,1,0,1,1,1,0,0,1,1,1","0,1,0,0,1,0,0,0,0,1,1"
166,1,196.7,"0,1,1,1,1,1,1,1,0,1,1","0,1,0,0,1,0,0,0,0,1,1"
167,1,196.8,"1,1,1,1,0,1,0,0,0,1,1","0,1,1,0,0,0,0,0,0,1,1"
168,1,196.9,"1,1,1,1,1,1,1,1,1,1,1","0,1,1,0,1,0,0,0,0,1,1"
169,1,197.0,"1,0,0,1,1,1,1,0,1,1,0","0,0,0,0,1,0,0,0,0,1,0"
170,1,197.1,"1,0,1,1,1,0,0,1,0,1,1","0,0,1,0,1,0,0,0,0,1,1"
171,1,197.2,"1,1,0,1,0,1,0,0,1,1,1","0,1,0,0,0,0,0,0,0,1,1"
172,1,197.3,"1,1,0,1,1,1,0,1,0,1,0","0,1,0,0,1,0,0,0,0,1,0"
173,1,197.4,"0,1,0,1,0,0,0,1,0,1,1","0,1,0,0,0,0,0,0,0,0,1"
174,1,197.5,"1,1,0,1,0,1,0,1,0,0,0","0,1,0,0,0,0,0,0,0,0,0"
175,1,197.6,"1,0,1,1,1,1,0,0,1,1,0","0,0,1,0,1,0,0,0,0,0,0"
